,DATUM,EMITTENT,TYP,ART DER RECHTE,GESAMTZAHL DER RECHTE,WERT,DETAILS
695,24.03.2020,BFW Liegenschaften AG,Erwerb,Namenaktien,14131,624590.20,
696,24.03.2020,Banque Cantonale Vaudoise,Erwerb,Namenaktien,50,30500.00,
697,24.03.2020,COLTENE Holding AG,Veräusserung,Namenaktien,120,7668.00,
698,24.03.2020,Comet Holding AG,Erwerb,Namenaktien,1996,175907.15,
699,24.03.2020,EFG International,Erwerb,Namenaktien,55815,283063.00,
700,24.03.2020,Geberit AG,Veräusserung,Namenaktien,3706,1510817.73,
701,24.03.2020,Geberit AG,Erwerb,Namenaktien,3706,1340646.50,
702,24.03.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,37,3143.11,
703,24.03.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,37,3143.11,
706,24.03.2020,Swiss Prime Site AG,Veräusserung,Namenaktien,300,27375.00,
707,24.03.2020,Ypsomed Holding AG,Erwerb,Namenaktien,1000,110628.60,
708,24.03.2020,Zug Estates Holding AG,Erwerb,Namenaktien,20,3800.00,
709,24.03.2020,ams AG,Erwerb,Andere Titel,2000000,1485040.00,
710,24.03.2020,ams AG,Erwerb,Inhaberaktien,50000,461995.00,
711,23.03.2020,ABB Ltd,Erwerb,Namenaktien,30000,463500.00,
712,23.03.2020,Adecco Group AG,Erwerb,Namenaktien,5000,157600.00,
713,23.03.2020,BFW Liegenschaften AG,Erwerb,Namenaktien,635185,28106936.25,
714,23.03.2020,BFW Liegenschaften AG,Erwerb,Namenaktien,155929,6892061.80,
715,23.03.2020,BVZ Holding AG,Erwerb,Namenaktien,5,4550.00,
716,23.03.2020,EFG International,Erwerb,Namenaktien,498136,2393580.00,
717,23.03.2020,Forbo Holding AG,Erwerb,Namenaktien,100,106000.00,
718,23.03.2020,Givaudan SA,Veräusserung,Namenaktien,634,1749206.00,
719,23.03.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,15000,1203483.40,
720,23.03.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,471,39982.62,
721,23.03.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,471,39982.62,
722,23.03.2020,Huber+Suhner AG,Erwerb,Namenaktien,9520,473530.00,
723,23.03.2020,Interroll Holding AG,Veräusserung,Namenaktien,1000,1250000.00,
724,23.03.2020,Interroll Holding AG,Erwerb,Namenaktien,35,47425.00,
725,23.03.2020,Kardex AG,Erwerb,Namenaktien,2081,212262.00,
728,23.03.2020,Lonza Group AG,Veräusserung,Namenaktien,1150,383524.00,
729,23.03.2020,PSP Swiss Property AG,Veräusserung,Namenaktien,96478,9961353.50,
730,23.03.2020,The Swatch Group AG,Erwerb,Inhaberaktien,22071,4107362.34,
731,23.03.2020,The Swatch Group AG,Erwerb,Namenaktien,3604,131182.72,
732,23.03.2020,Thurgauer Kantonalbank,Erwerb,Andere Titel,100,9160.00,
733,23.03.2020,Ypsomed Holding AG,Erwerb,Namenaktien,500,55690.40,
734,22.03.2020,BKW AG,Erwerb,Namenaktien,600,30270.00,
735,20.03.2020,AEVIS VICTORIA SA,Erwerb,Namenaktien,22847,226909.55,
736,20.03.2020,ASMALLWORLD AG,Erwerb,Namenaktien,4200,7499.20,
737,20.03.2020,Adecco Group AG,Veräusserung,Namenaktien,5448,193380.00,
738,20.03.2020,Alpine Select AG,Erwerb,Namenaktien,427,5337.50,
739,20.03.2020,BFW Liegenschaften AG,Erwerb,Namenaktien,100000,4419998.00,
740,20.03.2020,BVZ Holding AG,Erwerb,Namenaktien,11,9240.00,
741,20.03.2020,Bachem Holding AG,Veräusserung,Namenaktien,300,50801.00,
742,20.03.2020,Chocoladefabriken Lindt & Sprüngli AG,Veräusserung,Andere Titel,125,887500.00,
743,20.03.2020,EFG International,Erwerb,Namenaktien,454167,2206143.00,
744,20.03.2020,HBM Healthcare Investments AG,Veräusserung,Namenaktien,4500,781566.20,
745,20.03.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,3563,290783.00,
746,20.03.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,2900,237117.00,
747,20.03.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,1664,138228.48,
750,20.03.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,1664,138228.48,
751,20.03.2020,Hochdorf Holding AG,Veräusserung,Namenaktien,400,22441.50,
752,20.03.2020,Huber+Suhner AG,Erwerb,Namenaktien,7719,385482.00,
753,20.03.2020,Interroll Holding AG,Erwerb,Namenaktien,100,144439.00,
754,20.03.2020,Interroll Holding AG,Erwerb,Namenaktien,75,110420.00,
755,20.03.2020,METALL ZUG AG,Erwerb,Namenaktien,100,140000.00,
756,20.03.2020,METALL ZUG AG,Erwerb,Namenaktien,30,43800.00,
757,20.03.2020,Partners Group Holding AG,Erwerb,Namenaktien,1280,267520.00,
758,20.03.2020,Sensirion Holding AG,Erwerb,Namenaktien,6275,205216.10,
759,20.03.2020,The Swatch Group AG,Erwerb,Inhaberaktien,100000,19396000.00,
760,20.03.2020,The Swatch Group AG,Erwerb,Namenaktien,47405,1792951.91,
761,20.03.2020,Ypsomed Holding AG,Erwerb,Namenaktien,2077,244431.95,
762,20.03.2020,Zug Estates Holding AG,Erwerb,Namenaktien,34,62800.00,
763,19.03.2020,AEVIS VICTORIA SA,Erwerb,Namenaktien,1400,14500.00,
764,19.03.2020,Airesis SA,Veräusserung,Namenaktien,300000,289500.00,
765,19.03.2020,Alpine Select AG,Erwerb,Namenaktien,1608,20100.00,
766,19.03.2020,Alpine Select AG,Erwerb,Namenaktien,1157,14522.50,
767,19.03.2020,Banque Cantonale de Genève,Erwerb,Namenaktien,1158,1.00,
768,19.03.2020,EFG International,Erwerb,Namenaktien,118314,527141.00,
769,19.03.2020,HBM Healthcare Investments AG,Veräusserung,Namenaktien,7500,1262535.90,
772,19.03.2020,HBM Healthcare Investments AG,Erwerb,Namenaktien,300,50100.00,
773,19.03.2020,Huber+Suhner AG,Erwerb,Namenaktien,31822,1535220.00,
774,19.03.2020,Intershop Holding AG,Erwerb,Namenaktien,300,145423.00,
775,19.03.2020,Novartis AG,Erwerb,Namenaktien,4999,375205.77,
776,19.03.2020,PSP Swiss Property AG,Veräusserung,Namenaktien,100000,10335000.00,
777,19.03.2020,Tecan Group AG,Veräusserung,Namenaktien,6066,1425510.00,
778,19.03.2020,Tecan Group AG,Veräusserung,Namenaktien,6066,1425510.00,
779,19.03.2020,Tecan Group AG,Veräusserung,Namenaktien,5886,1383210.00,
780,19.03.2020,Tecan Group AG,Veräusserung,Namenaktien,5055,1187925.00,
781,19.03.2020,Tecan Group AG,Veräusserung,Namenaktien,5055,1187925.00,
782,19.03.2020,Tecan Group AG,Veräusserung,Namenaktien,420,98700.00,
783,19.03.2020,The Swatch Group AG,Erwerb,Inhaberaktien,166535,30088161.56,
784,19.03.2020,The Swatch Group AG,Erwerb,Namenaktien,179590,6501445.34,
785,19.03.2020,VZ Holding AG,Erwerb,Namenaktien,100,25200.00,
786,19.03.2020,Ypsomed Holding AG,Erwerb,Namenaktien,1158,137597.40,
787,19.03.2020,nebag ag,Erwerb,Namenaktien,4934,34291.30,
788,18.03.2020,ABB Ltd,Erwerb,Namenaktien,20000,302800.00,
789,18.03.2020,Alpine Select AG,Erwerb,Namenaktien,330,4125.00,
790,18.03.2020,EFG International,Erwerb,Namenaktien,367826,1539850.00,
791,18.03.2020,Elma Electronic AG,Erwerb,Namenaktien,66,29040.00,
794,18.03.2020,Helvetia Holding AG,Erwerb,Namenaktien,300,21165.00,
795,18.03.2020,Huber+Suhner AG,Erwerb,Namenaktien,39889,1925841.00,
796,18.03.2020,Intershop Holding AG,Veräusserung,Namenaktien,320,162360.00,
797,18.03.2020,Intershop Holding AG,Erwerb,Namenaktien,1,400000.00,
798,18.03.2020,Intershop Holding AG,Erwerb,Namenaktien,1,240000.00,
799,18.03.2020,Intershop Holding AG,Erwerb,Namenaktien,1,200000.00,
800,18.03.2020,Intershop Holding AG,Erwerb,Namenaktien,1,170000.00,
801,18.03.2020,PSP Swiss Property AG,Veräusserung,Namenaktien,100000,10320000.00,
802,18.03.2020,Partners Group Holding AG,Erwerb,Namenaktien,741,200070.00,
803,18.03.2020,Partners Group Holding AG,Erwerb,Namenaktien,720,150480.00,
804,18.03.2020,SFS Group AG,Erwerb,Namenaktien,8000,504000.00,
805,18.03.2020,Schweiter Technologies AG,Erwerb,Inhaberaktien,6,4680.00,
806,18.03.2020,Stadler Rail AG,Erwerb,Namenaktien,29458,1119404.00,
807,18.03.2020,Swiss Prime Site AG,Veräusserung,Namenaktien,440,45254.00,
808,18.03.2020,The Swatch Group AG,Erwerb,Inhaberaktien,231496,38852228.33,
809,18.03.2020,The Swatch Group AG,Erwerb,Namenaktien,182455,6059494.76,
810,18.03.2020,Vetropack Holding AG,Veräusserung,Inhaberaktien,5,11975.00,
811,18.03.2020,Ypsomed Holding AG,Erwerb,Namenaktien,6809,767147.80,
812,18.03.2020,ams AG,Erwerb,Inhaberaktien,35000,316689.63,
813,18.03.2020,ams AG,Erwerb,Inhaberaktien,10000,88750.00,
816,17.03.2020,APG SGA SA,Erwerb,Namenaktien,50,9270.00,
817,17.03.2020,Bergbahnen Engelberg-Trübsee-Titlis AG,Erwerb,Namenaktien,400,95300.00,
818,17.03.2020,Bossard Holding AG,Erwerb,Namenaktien,2000,200170.70,
819,17.03.2020,Bossard Holding AG,Erwerb,Namenaktien,1000,99845.40,
820,17.03.2020,Bossard Holding AG,Erwerb,Namenaktien,100,10131.48,
821,17.03.2020,Burckhardt Compression Holding AG,Erwerb,Namenaktien,100,15480.00,
822,17.03.2020,EFG International,Erwerb,Namenaktien,488455,1975994.00,
823,17.03.2020,Huber+Suhner AG,Erwerb,Namenaktien,38333,1869884.00,
824,17.03.2020,Kardex AG,Erwerb,Namenaktien,9000,972360.00,
825,17.03.2020,Kühne + Nagel International AG,Veräusserung,Namenaktien,5000,670000.00,
826,17.03.2020,LafargeHolcim Ltd,Erwerb,Namenaktien,5000,151700.00,
827,17.03.2020,LafargeHolcim Ltd,Erwerb,Namenaktien,3000,87000.00,
828,17.03.2020,PSP Swiss Property AG,Veräusserung,Namenaktien,3522,387420.00,
829,17.03.2020,Phoenix Mecano AG,Erwerb,Inhaberaktien,150,49500.00,
830,17.03.2020,Private Equity Holding AG,Erwerb,Namenaktien,2500,110000.00,
831,17.03.2020,Sonova Holding AG,Veräusserung,Namenaktien,1300,200032.95,
832,17.03.2020,The Swatch Group AG,Erwerb,Inhaberaktien,217144,35696647.42,
833,17.03.2020,The Swatch Group AG,Erwerb,Namenaktien,162288,5074210.21,
834,17.03.2020,VZ Holding AG,Erwerb,Namenaktien,100,27100.00,
835,17.03.2020,Vetropack Holding AG,Erwerb,Inhaberaktien,5,11300.00,
838,17.03.2020,Ypsomed Holding AG,Erwerb,Namenaktien,11890,1342572.42,
839,17.03.2020,ams AG,Erwerb,Inhaberaktien,3500,34019.30,
840,16.03.2020,APG SGA SA,Erwerb,Namenaktien,100,16800.00,
841,16.03.2020,Adecco Group AG,Veräusserung,Namenaktien,1684,53871.00,
842,16.03.2020,Adecco Group AG,Erwerb,Namenaktien,1500,47850.00,
843,16.03.2020,Alcon Inc.,Erwerb,Namenaktien,20000,913983.88,
844,16.03.2020,Alcon Inc.,Erwerb,Namenaktien,20000,853003.76,
845,16.03.2020,Alpine Select AG,Erwerb,Namenaktien,3062,38275.00,
846,16.03.2020,Alpine Select AG,Erwerb,Namenaktien,1000,12900.00,
847,16.03.2020,Bachem Holding AG,Veräusserung,Namenaktien,300,45600.00,
848,16.03.2020,Banque Cantonale Vaudoise,Erwerb,Namenaktien,100,61000.00,
849,16.03.2020,Banque Cantonale Vaudoise,Erwerb,Namenaktien,100,61000.00,
850,16.03.2020,Cicor Technologies Ltd.,Erwerb,Namenaktien,500,15000.00,
851,16.03.2020,DKSH Holding AG,Erwerb,Namenaktien,500,22610.45,
852,16.03.2020,EFG International,Erwerb,Namenaktien,593279,2378695.00,
853,16.03.2020,Geberit AG,Erwerb,Namenaktien,1918,865977.00,
854,16.03.2020,Geberit AG,Erwerb,Namenaktien,1068,482202.00,
855,16.03.2020,Geberit AG,Erwerb,Namenaktien,674,304311.00,
856,16.03.2020,Geberit AG,Erwerb,Namenaktien,616,278124.00,
857,16.03.2020,Geberit AG,Erwerb,Namenaktien,300,135450.00,
860,16.03.2020,Huber+Suhner AG,Erwerb,Namenaktien,62298,2941712.00,
861,16.03.2020,Kühne + Nagel International AG,Veräusserung,Namenaktien,5000,635250.00,
862,16.03.2020,Kühne + Nagel International AG,Erwerb,Namenaktien,5000,604400.00,
863,16.03.2020,LafargeHolcim Ltd,Erwerb,Namenaktien,5000,151750.00,
864,16.03.2020,LafargeHolcim Ltd,Erwerb,Namenaktien,1000,30400.00,
865,16.03.2020,Stadler Rail AG,Erwerb,Namenaktien,48315,1835970.00,
866,16.03.2020,Temenos AG,Erwerb,Wandelrechte,950,98022.50,
867,16.03.2020,Thurgauer Kantonalbank,Erwerb,Andere Titel,1000,91832.60,
868,16.03.2020,Walliser Kantonalbank,Veräusserung,Namenaktien,973,94868.00,
869,16.03.2020,Ypsomed Holding AG,Erwerb,Namenaktien,11573,1248557.94,
870,16.03.2020,Zug Estates Holding AG,Veräusserung,Namenaktien,50,98500.00,
871,16.03.2020,ams AG,Erwerb,Inhaberaktien,43000,409975.61,
872,16.03.2020,ams AG,Erwerb,Inhaberaktien,30000,285280.44,
873,16.03.2020,ams AG,Erwerb,Inhaberaktien,7925,73041.60,
874,16.03.2020,ams AG,Erwerb,Inhaberaktien,6525,60030.00,
875,16.03.2020,dormakaba Holding AG,Erwerb,Namenaktien,1597,697446.30,
876,16.03.2020,u-blox Holding AG,Veräusserung,Namenaktien,4000,205620.00,
877,13.03.2020,ARYZTA AG,Erwerb,Namenaktien,300000,147000.00,
878,13.03.2020,ARYZTA AG,Erwerb,Namenaktien,100000,46840.00,
879,13.03.2020,Allreal Holding AG,Erwerb,Namenaktien,250,48000.00,
882,13.03.2020,Alpine Select AG,Erwerb,Namenaktien,5843,76481.00,
883,13.03.2020,BELIMO Holding AG,Erwerb,Namenaktien,3,16320.00,
884,13.03.2020,Bachem Holding AG,Veräusserung,Namenaktien,400,68887.40,
885,13.03.2020,Bank Linth,Erwerb,Namenaktien,10,4790.00,
886,13.03.2020,Banque Cantonale Vaudoise,Erwerb,Namenaktien,100,61000.00,
887,13.03.2020,Bergbahnen Engelberg-Trübsee-Titlis AG,Erwerb,Namenaktien,40,9413.35,
888,13.03.2020,COLTENE Holding AG,Veräusserung,Namenaktien,200,14162.20,
889,13.03.2020,DKSH Holding AG,Erwerb,Namenaktien,500,24916.60,
890,13.03.2020,DUFRY AG,Veräusserung,Namenaktien,787015,18494852.50,
891,13.03.2020,DUFRY AG,Veräusserung,Namenaktien,750010,17625235.00,
892,13.03.2020,DUFRY AG,Veräusserung,Namenaktien,46350,1331262.45,
893,13.03.2020,DUFRY AG,Erwerb,Put Optionen,400000,2936000.00,
894,13.03.2020,DUFRY AG,Erwerb,Namenaktien,13300,399000.00,
895,13.03.2020,EFG International,Erwerb,Namenaktien,222559,1006401.00,
896,13.03.2020,Elma Electronic AG,Erwerb,Namenaktien,40,17680.00,
897,13.03.2020,Forbo Holding AG,Erwerb,Namenaktien,500,592500.00,
898,13.03.2020,Huber+Suhner AG,Erwerb,Namenaktien,58348,2922068.00,
899,13.03.2020,Implenia AG,Erwerb,Namenaktien,2000,72019.55,
900,13.03.2020,Intershop Holding AG,Veräusserung,Namenaktien,100,63000.00,
901,13.03.2020,Kühne + Nagel International AG,Veräusserung,Namenaktien,2000,273000.00,
904,13.03.2020,Novartis AG,Veräusserung,Namenaktien,2069,148709.22,
905,13.03.2020,Private Equity Holding AG,Erwerb,Namenaktien,1500,76445.00,
906,13.03.2020,Walliser Kantonalbank,Veräusserung,Namenaktien,634,63340.00,
907,13.03.2020,Ypsomed Holding AG,Erwerb,Namenaktien,8420,933277.60,
908,13.03.2020,Ypsomed Holding AG,Erwerb,Namenaktien,411,45003.20,
909,13.03.2020,dormakaba Holding AG,Erwerb,Namenaktien,1600,697446.30,
910,13.03.2020,dormakaba Holding AG,Erwerb,Namenaktien,10,4321.05,
911,13.03.2020,mobilezone holding ag,Erwerb,Namenaktien,1,264147.00,
912,13.03.2020,mobilezone holding ag,Erwerb,Namenaktien,1,108060.00,
913,13.03.2020,mobilezone holding ag,Erwerb,Namenaktien,1,84047.00,
914,13.03.2020,mobilezone holding ag,Erwerb,Namenaktien,1,59762.00,
915,13.03.2020,mobilezone holding ag,Erwerb,Namenaktien,1,59762.00,
916,12.03.2020,AEVIS VICTORIA SA,Erwerb,Namenaktien,600,7596.00,
917,12.03.2020,Autoneum Holding AG,Erwerb,Namenaktien,1000,75000.00,
918,12.03.2020,BVZ Holding AG,Veräusserung,Namenaktien,20,20200.00,
919,12.03.2020,Banque Cantonale Vaudoise,Erwerb,Namenaktien,100,61000.00,
920,12.03.2020,Banque Cantonale Vaudoise,Erwerb,Namenaktien,100,61000.00,
921,12.03.2020,Bell Food Group AG,Erwerb,Namenaktien,100,22000.00,
922,12.03.2020,Blackstone Resources AG,Erwerb,Namenaktien,8297778,6223333.50,
923,12.03.2020,COLTENE Holding AG,Veräusserung,Namenaktien,168,12142.20,
926,12.03.2020,DUFRY AG,Veräusserung,Namenaktien,551912,17992571.65,
927,12.03.2020,DUFRY AG,Veräusserung,Namenaktien,200000,5850195.80,
928,12.03.2020,DUFRY AG,Erwerb,Put Optionen,100000,6749900.00,
929,12.03.2020,EFG International,Erwerb,Namenaktien,567485,2588075.00,
930,12.03.2020,Forbo Holding AG,Erwerb,Namenaktien,500,606000.00,
931,12.03.2020,HBM Healthcare Investments AG,Erwerb,Namenaktien,280,50239.20,
932,12.03.2020,Helvetia Holding AG,Erwerb,Namenaktien,1050,103477.50,
933,12.03.2020,Kühne + Nagel International AG,Erwerb,Namenaktien,2000,256000.00,
934,12.03.2020,Liechtensteinische Landesbank AG,Erwerb,Namenaktien,1000,50209.00,
935,12.03.2020,Stadler Rail AG,Erwerb,Namenaktien,760,30020.00,
936,12.03.2020,Swiss Life Holding AG,Erwerb,Namenaktien,500,183898.80,
937,12.03.2020,VAT Group AG,Erwerb,Namenaktien,83,10057.99,
938,12.03.2020,VP Bank AG,Veräusserung,Namenaktien,151,20790.87,
939,12.03.2020,Ypsomed Holding AG,Erwerb,Namenaktien,13000,1401139.80,
940,12.03.2020,Ypsomed Holding AG,Erwerb,Namenaktien,880,97594.40,
941,12.03.2020,dormakaba Holding AG,Erwerb,Namenaktien,2000,890031.80,
942,11.03.2020,AEVIS VICTORIA SA,Erwerb,Namenaktien,700,9009.00,
943,11.03.2020,Alpine Select AG,Erwerb,Namenaktien,1000,13400.00,
944,11.03.2020,Banque Cantonale de Genève,Erwerb,Namenaktien,288,1.00,
945,11.03.2020,Burckhardt Compression Holding AG,Erwerb,Namenaktien,500,97895.00,
948,11.03.2020,EFG International,Erwerb,Namenaktien,232515,1140565.00,
949,11.03.2020,Kardex AG,Erwerb,Namenaktien,8000,992320.00,
950,11.03.2020,Kardex AG,Erwerb,Namenaktien,320,39801.20,
951,11.03.2020,Kudelski S.A.,Erwerb,Inhaberaktien,12500,51247.00,
952,11.03.2020,Orascom Development Holding AG,Erwerb,Namenaktien,6500,61680.216,
953,11.03.2020,RELIEF THERAPEUTICS Holding SA,Erwerb,Namenaktien,5000000,40000.00,
954,11.03.2020,Rieter Holding AG,Erwerb,Namenaktien,100000,10400000.00,
955,11.03.2020,Rieter Holding AG,Erwerb,Namenaktien,245,25070.25,
956,11.03.2020,Ypsomed Holding AG,Erwerb,Namenaktien,5500,625779.80,
957,11.03.2020,dormakaba Holding AG,Erwerb,Namenaktien,3137,1516583.90,
958,10.03.2020,AEVIS VICTORIA SA,Erwerb,Namenaktien,1200,15084.00,
959,10.03.2020,Adecco Group AG,Erwerb,Namenaktien,2350,102231.00,
960,10.03.2020,Alpine Select AG,Erwerb,Namenaktien,1,13.20,
961,10.03.2020,Banque Cantonale de Genève,Erwerb,Namenaktien,210,1.00,
962,10.03.2020,Chocoladefabriken Lindt & Sprüngli AG,Veräusserung,Andere Titel,100,755330.00,
963,10.03.2020,EFG International,Erwerb,Namenaktien,385000,1880311.00,
964,10.03.2020,Flughafen Zürich AG,Erwerb,Namenaktien,100,12911.00,
965,10.03.2020,HBM Healthcare Investments AG,Erwerb,Namenaktien,2000,399156.80,
966,10.03.2020,Kühne + Nagel International AG,Veräusserung,Namenaktien,5000,692785.50,
967,10.03.2020,Orascom Development Holding AG,Erwerb,Namenaktien,3550,34222.00,
970,10.03.2020,Swiss Life Holding AG,Erwerb,Namenaktien,500,206775.70,
971,10.03.2020,Ypsomed Holding AG,Erwerb,Namenaktien,5250,613355.60,
972,10.03.2020,Ypsomed Holding AG,Erwerb,Namenaktien,500,58389.00,
973,10.03.2020,Zurich Insurance Group AG,Erwerb,Namenaktien,2970,1009800.00,
974,10.03.2020,dormakaba Holding AG,Erwerb,Namenaktien,2897,1445415.30,
975,09.03.2020,AEVIS VICTORIA SA,Erwerb,Namenaktien,3500,44870.00,
976,09.03.2020,Alpine Select AG,Veräusserung,Namenaktien,5492,73043.60,
977,09.03.2020,Alpine Select AG,Erwerb,Namenaktien,65889,864145.90,
978,09.03.2020,Autoneum Holding AG,Erwerb,Namenaktien,4000,310240.00,
979,09.03.2020,BVZ Holding AG,Erwerb,Namenaktien,10,10200.00,
980,09.03.2020,Compagnie Financière Tradition S.A.,Erwerb,Inhaberaktien,3000,7500.00,
981,09.03.2020,EFG International,Erwerb,Namenaktien,260000,1267416.00,
982,09.03.2020,Elma Electronic AG,Erwerb,Namenaktien,5,2220.00,
983,09.03.2020,Forbo Holding AG,Erwerb,Namenaktien,1000,1285310.00,
984,09.03.2020,HBM Healthcare Investments AG,Erwerb,Namenaktien,72,13852.80,
985,09.03.2020,Helvetia Holding AG,Erwerb,Namenaktien,260,29900.00,
986,09.03.2020,Kühne + Nagel International AG,Erwerb,Namenaktien,10000,1335921.00,
987,09.03.2020,Orascom Development Holding AG,Erwerb,Namenaktien,15000,142424.49,
988,09.03.2020,Orascom Development Holding AG,Erwerb,Namenaktien,3000,29250.00,
989,09.03.2020,Peach Property Group AG,Erwerb,Namenaktien,494,17344.50,
992,09.03.2020,Rieter Holding AG,Erwerb,Namenaktien,290,29782.70,
993,09.03.2020,Stadler Rail AG,Erwerb,Namenaktien,1700,69384.95,
994,09.03.2020,Stadler Rail AG,Erwerb,Namenaktien,1000,41700.00,
995,09.03.2020,VAT Group AG,Erwerb,Namenaktien,160,19808.50,
996,09.03.2020,Ypsomed Holding AG,Erwerb,Namenaktien,2000,235600.00,
997,09.03.2020,Ypsomed Holding AG,Erwerb,Namenaktien,1300,153140.00,
998,09.03.2020,dormakaba Holding AG,Erwerb,Namenaktien,12080,5894514.80,
999,07.03.2020,Banque Cantonale de Genève,Erwerb,Namenaktien,1230,1.00,
1000,06.03.2020,AEVIS VICTORIA SA,Erwerb,Namenaktien,1850,24217.00,
1001,06.03.2020,Alpine Select AG,Erwerb,Namenaktien,6000,82900.00,
1002,06.03.2020,Ascom Holding AG,Erwerb,Namenaktien,6700,49044.00,
1003,06.03.2020,Autoneum Holding AG,Erwerb,Namenaktien,4000,328880.00,
1004,06.03.2020,Bergbahnen Engelberg-Trübsee-Titlis AG,Erwerb,Namenaktien,100,29500.00,
1005,06.03.2020,EFG International,Erwerb,Namenaktien,270146,1380733.00,
1006,06.03.2020,Forbo Holding AG,Erwerb,Namenaktien,500,674030.00,
1007,06.03.2020,Helvetia Holding AG,Erwerb,Namenaktien,260,32032.00,
1008,06.03.2020,LafargeHolcim Ltd,Erwerb,Namenaktien,500,22000.00,
1009,06.03.2020,Peach Property Group AG,Erwerb,Namenaktien,1607,58012.70,
1010,06.03.2020,SGS SA,Veräusserung,Namenaktien,12,28836.00,
1011,06.03.2020,Stadler Rail AG,Erwerb,Namenaktien,680,30056.00,
1014,06.03.2020,Swiss Life Holding AG,Erwerb,Namenaktien,555,238550.50,
1015,06.03.2020,dormakaba Holding AG,Erwerb,Namenaktien,10489,5328625.20,
1016,06.03.2020,dormakaba Holding AG,Erwerb,Namenaktien,10,5004.65,
1017,06.03.2020,nebag ag,Veräusserung,Namenaktien,285,2764.50,
1018,05.03.2020,Alpine Select AG,Erwerb,Namenaktien,4111,57150.30,
1019,05.03.2020,Ascom Holding AG,Erwerb,Namenaktien,51000,390445.00,
1020,05.03.2020,Chocoladefabriken Lindt & Sprüngli AG,Veräusserung,Andere Titel,269,2178900.00,
1021,05.03.2020,EFG International,Erwerb,Namenaktien,199854,1046645.00,
1022,05.03.2020,LafargeHolcim Ltd,Erwerb,Namenaktien,2500,114675.00,
1023,05.03.2020,Phoenix Mecano AG,Erwerb,Inhaberaktien,100,40600.00,
1024,05.03.2020,Swiss Life Holding AG,Erwerb,Namenaktien,500,220518.10,
1025,05.03.2020,VAT Group AG,Erwerb,Namenaktien,750,102692.90,
1026,05.03.2020,nebag ag,Veräusserung,Namenaktien,1670,16366.00,
1027,04.03.2020,AEVIS VICTORIA SA,Erwerb,Namenaktien,1600,21024.00,
1028,04.03.2020,Chocoladefabriken Lindt & Sprüngli AG,Veräusserung,Andere Titel,250,2028875.00,
1029,04.03.2020,EFG International,Erwerb,Namenaktien,253000,1346377.00,
1030,04.03.2020,Elma Electronic AG,Erwerb,Namenaktien,12,5328.00,
1031,04.03.2020,Mobimo Holding AG,Veräusserung,Namenaktien,200,61200.00,
1032,04.03.2020,Novartis AG,Veräusserung,Namenaktien,500,41130.00,
1033,04.03.2020,Private Equity Holding AG,Erwerb,Namenaktien,50,2900.00,
1036,04.03.2020,SIG Combibloc Group AG,Veräusserung,Namenaktien,98572,1399722.40,
1037,04.03.2020,SIG Combibloc Group AG,Veräusserung,Namenaktien,91383,1297638.60,
1038,04.03.2020,SIG Combibloc Group AG,Veräusserung,Namenaktien,38186,542241.20,
1039,04.03.2020,SIG Combibloc Group AG,Veräusserung,Namenaktien,4271,60648.20,
1040,04.03.2020,Sika AG,Veräusserung,Namenaktien,1500,276150.00,
1041,03.03.2020,AEVIS VICTORIA SA,Erwerb,Namenaktien,300,3960.00,
1042,03.03.2020,DKSH Holding AG,Erwerb,Namenaktien,500,27522.09,
1043,03.03.2020,EFG International,Erwerb,Namenaktien,100000,554886.00,
1044,03.03.2020,Elma Electronic AG,Erwerb,Namenaktien,13,5772.00,
1045,03.03.2020,Kudelski S.A.,Erwerb,Inhaberaktien,100000,461911.00,
1046,03.03.2020,Kühne + Nagel International AG,Veräusserung,Namenaktien,10500,1541610.00,
1047,03.03.2020,LafargeHolcim Ltd,Erwerb,Namenaktien,10800,498116.00,
1048,03.03.2020,LafargeHolcim Ltd,Erwerb,Namenaktien,1500,68183.00,
1049,03.03.2020,The Swatch Group AG,Erwerb,Namenaktien,421556,17494574.00,
1050,02.03.2020,Blackstone Resources AG,Erwerb,Namenaktien,300,255.00,
1051,02.03.2020,EFG International,Erwerb,Namenaktien,110000,591143.00,
1052,02.03.2020,Georg Fischer AG,Veräusserung,Namenaktien,300,246300.00,
1053,02.03.2020,Kühne + Nagel International AG,Veräusserung,Namenaktien,2500,360375.00,
1054,02.03.2020,LafargeHolcim Ltd,Erwerb,Namenaktien,1500,67181.00,
1055,02.03.2020,LafargeHolcim Ltd,Erwerb,Namenaktien,1000,45960.00,
1058,02.03.2020,Logitech International S.A.,Veräusserung,Namenaktien,70850,1906786.41,
1059,02.03.2020,Sunrise Communications Group AG,Erwerb,Namenaktien,2000,158600.00,
1060,02.03.2020,Sunrise Communications Group AG,Erwerb,Namenaktien,900,69624.00,
